sample_id	w811	w814	w818	w822	w826	w830	w834	w838	w841	w845	w849	w853	w857	w861	w865	w868	w872	w876	w880	w884	w888	w892	w895	w899	w903	w907	w911	w915	w919	w922	w926	w930	w934	w938	w942	w946	w950	w953	w957	w961	w965	w969	w973	w977	w980	w984	w988	w992	w996	w1000	w1004	w1007	w1011	w1015	w1019	w1023	w1027	w1031	w1034	w1038	w1042	w1046	w1050	w1054	w1058	w1061	w1065	w1069	w1073	w1077	w1081	w1085	w1088	w1092	w1096	w1100	w1104	w1108	w1112	w1115	w1119	w1123	w1127	w1131	w1135	w1139	w1143	w1146	w1150	w1154	w1158	w1162	w1166	w1170	w1173	w1177	w1181	w1185	w1189	w1193	w1197	w1200	w1204	w1208	w1212	w1216	w1220	w1224	w1227	w1231	w1235	w1239	w1243	w1247	w1251	w1254	w1258	w1262	w1266	w1270	w1274	w1278	w1281	w1285	w1289	w1293	w1297	w1301	w1305	w1308	w1312	w1316	w1320	w1324	w1328	w1332	w1336	w1339	w1343	w1347	w1351	w1355	w1359	w1363	w1366	w1370	w1374	w1378	w1382	w1386	w1390	w1393	w1397	w1401	w1405	w1409	w1413	w1417	w1420	w1424	w1428	w1432	w1436	w1440	w1444	w1447	w1451	w1455	w1459	w1463	w1467	w1471	w1474	w1478	w1482	w1486	w1490	w1494	w1498	w1501	w1505	w1509	w1513	w1517	w1521	w1525	w1529	w1532	w1536	w1540	w1544	w1548	w1552	w1556	w1559	w1563	w1567	w1571	w1575	w1579	w1583	w1586	w1590	w1594	w1598	w1602	w1606	w1610	w1613	w1617	w1621	w1625	w1629	w1633	w1637	w1640	w1644	w1648	w1652	w1656	w1660	w1664	w1667	w1671	w1675	w1679	w1683	w1687	w1691	w1694	w1698	w1702	w1706	w1710	w1714	w1718	w1722	w1725	w1729	w1733	w1737	w1741	w1745	w1749	w1752	w1756	w1760	w1764	w1768	w1772	w1776	w1779	w1783	w1787	w1791	w1795	w1799	w1803	w1806	w1810	w1814	w1818	w1822	w1826	w1830	w1833	w1837	w1841	w1845	w1849	w1853	w1857	w1860	w1864	w1868	w1872	w1876	w1880	w1884	w1887	w1891	w1895	w1899	w1903	w1907	w1911	variety
string	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete
meta																																																																																																																																																																																																																																																																																															class
C01	21.2276	21.8375	22.73	22.5177	21.0402	19.2563	18.518	18.3478	18.044	17.7359	17.6363	18.0308	18.2347	18.2754	17.6533	16.7032	16.2375	16.1838	16.4583	16.5805	16.4261	16.2445	16.0957	15.7561	15.7917	16.1327	16.5083	16.8715	16.8427	16.8457	16.6345	16.3491	16.4369	16.4914	16.7642	16.7755	17.0081	17.837	18.0374	18.5353	19.5808	20.0871	20.6087	21.7487	22.7152	23.3326	23.6227	23.5188	23.6034	24.1869	24.6157	24.5701	24.9532	25.7024	26.1568	26.58	28.1475	29.7717	30.6809	31.915	31.974	31.6243	31.9281	31.7965	31.6048	32.3807	33.9184	36.3132	37.1538	36.3181	36.8273	37.1398	38.1235	38.0905	37.3383	37.202	36.3014	35.806	35.4929	35.6628	36.2971	37.1657	37.3031	36.6244	35.6052	34.493	34.0172	33.4527	34.1836	36.2159	36.2396	36.5876	36.0443	35.0255	34.7706	33.8863	34.5108	34.7863	34.573	34.7939	33.5454	33.1682	33.2983	32.6771	32.3778	31.9543	32.0272	31.7381	30.9725	31.2716	32.5102	33.6341	33.8663	34.2564	34.3732	34.6612	35.2068	35.8565	36.2412	36.8303	38.573	38.2145	38.1078	39.0027	38.627	38.0474	37.4133	36.3895	35.7774	34.98	33.9039	33.3704	33.493	33.316	32.6902	32.4763	32.8543	33.0575	32.4558	32.7663	33.1266	32.9052	33.4864	34.4468	34.9683	36.6246	38.0392	38.1491	37.8361	37.1039	38.4366	39.8357	40.7633	41.4323	40.9899	41.9199	43.1016	41.3196	40.1077	40.2402	41.3137	40.8534	38.4416	37.9244	38.1802	37.8199	36.8088	36.1196	35.4191	35.1563	33.3626	31.287	29.5973	28.261	26.9845	26.2863	26.1092	25.3182	25.2559	25.3427	25.2707	26.4593	27.6412	28.2827	27.7806	28.0047	28.6548	28.0186	26.7423	26.4731	28.0039	28.5943	29.7903	30.317	30.8379	32.4814	33.1754	34.0077	35.016	36.95	37.8685	38.6965	39.2045	40.7235	42.1584	42.4122	43.6622	45.7882	47.1322	47.1242	45.6981	43.2706	42.253	43.6564	46.0275	47.7917	47.2753	45.6412	45.3056	47.7615	49.6351	47.4626	42.8413	40.0504	39.2996	39.0338	38.8771	39.3975	40.6194	41.6084	41.7595	44.5204	44.9974	43.5889	41.9387	36.4663	33.0715	31.6123	28.3994	25.1827	22.5545	20.2003	17.8622	16.3459	14.8023	13.8272	13.2638	12.7783	12.4886	12.2913	12.2466	11.9378	11.3243	10.5402	9.54318	8.42376	7.4974	6.67674	6.07407	5.67967	5.42822	5.21972	5.04473	4.95233	4.87125	4.78749	4.71787	4.68046	4.62419	4.57324	4.56702	4.53037	4.46798	4.41741	4.3904	4.35723	4.29997	4.27192	4.25118	4.21955	4.16871	4.12913	4.10534	4.07811	4.05191	4.04269	Arabica
C02	10.3642	10.5696	10.4489	10.1007	9.62037	8.8825	8.41553	8.21022	7.91643	7.80615	7.74673	7.73905	7.82514	7.72553	7.60295	7.58185	7.51834	7.4363	7.47294	7.56175	7.51258	7.43891	7.4044	7.22923	7.02199	6.95144	7.01048	7.03038	6.9189	6.77126	6.69843	6.78838	6.92021	6.98122	7.04445	7.17612	7.36177	7.55422	7.81514	8.1698	8.50207	8.75983	9.07048	9.44403	9.63333	9.67246	9.81982	10.0495	10.242	10.4445	10.7252	11.1814	11.7869	12.37	13.0614	13.6888	14.1573	15.0258	15.7949	16.3418	17.1372	17.1056	16.8569	17.4525	17.8187	17.7316	18.1049	18.6221	19.0715	19.3568	19.8943	20.4129	20.2484	20.3328	20.1719	19.6937	19.2942	18.5765	18.299	18.2932	18.5968	18.6819	18.4268	18.1079	17.6252	17.654	17.6325	17.6486	17.8029	17.9551	17.9249	17.6448	17.4686	17.442	16.8877	16.4524	16.4739	16.3343	15.9154	15.6468	15.4951	15.0902	14.9983	14.9127	14.9712	15.1344	14.9172	14.7889	14.9285	15.1296	15.6161	16.054	16.1918	16.4098	16.7011	17.0029	17.1796	17.4417	17.7211	17.6788	17.9181	18.2033	18.1393	18.2767	17.994	17.6265	17.2151	16.8694	16.6321	16.3648	16.1878	15.7751	15.2893	15.0433	15.159	15.1524	14.9438	14.9786	15.21	15.2525	15.3179	15.7749	16.4332	17.0446	17.6441	18.1051	18.4683	19.1531	19.2094	18.9763	19.8247	20.242	20.2	20.1819	20.1509	20.1535	20.2187	20.1049	19.6762	19.8346	19.5376	18.9556	18.4323	18.1856	17.8935	17.5247	17.4628	17.4011	16.681	15.6842	14.9048	14.2728	13.4201	12.6295	12.0603	11.6209	11.4853	11.3809	11.3958	11.477	11.4769	11.8265	12.2417	12.4503	12.7499	13.0954	13.0478	12.8857	12.7015	12.7854	13.3933	13.8694	14.5039	15.305	16.1081	16.8052	17.1349	17.5787	18.1749	19.3321	20.1361	20.6679	21.5746	22.4593	23.0676	23.6481	23.9797	24.3698	24.8181	25.0089	24.1344	23.4053	23.1376	22.5208	22.5488	22.8963	23.2202	23.3126	22.9058	24.1301	24.2341	23.2565	22.1552	21.0526	20.0021	19.3661	19.3479	19.6061	19.7211	20.1011	21.3875	21.936	22.3025	22.1836	20.3842	18.3725	16.7073	15.1389	13.5389	12.0723	10.7428	9.80368	8.71783	7.90362	7.20692	6.79441	6.67009	6.6928	6.71813	6.73978	6.80331	6.7331	6.39111	5.82625	5.13485	4.28643	3.57953	2.9898	2.58223	2.3129	2.12439	2.00381	1.91944	1.8573	1.80197	1.76045	1.72679	1.69598	1.66549	1.64214	1.61847	1.59705	1.58338	1.56566	1.54289	1.53112	1.51893	1.50512	1.49313	1.47556	1.46468	1.45644	1.44209	1.4337	1.42529	1.4187	Arabica
C03	13.1183	13.5071	13.4735	12.8714	12.1819	11.2395	10.5157	10.4682	10.4287	10.2128	10.0583	10.0334	9.99019	9.91249	9.88368	9.77357	9.74822	9.78748	9.82433	9.89962	9.79624	9.71884	9.67437	9.46662	9.39547	9.47835	9.52437	9.45065	9.29447	9.08922	8.99567	9.03936	9.25825	9.42394	9.43104	9.57344	9.77067	10.1431	10.6202	10.9334	11.1971	11.492	12.003	12.6009	12.8725	12.8844	13.1407	13.5323	13.6951	13.9308	14.2035	14.8618	15.683	16.2402	16.6328	17.418	18.6248	19.1839	20.1394	20.654	20.427	20.7904	21.4912	22.2949	22.6314	22.8644	23.071	23.7587	24.3997	24.6908	24.989	24.7212	25.1601	25.8231	25.9689	25.4025	24.5526	24.1646	23.6946	23.3538	23.4087	23.737	24.3439	23.8396	22.9628	23.1391	22.8281	22.5701	23.0134	23.2718	23.08	22.6451	22.578	22.2588	21.7952	21.6325	21.3689	21.3723	21.0923	20.7276	20.2843	19.8226	19.7578	19.7926	19.9588	19.8166	19.5195	19.5611	19.5775	19.865	20.389	20.7335	20.9617	21.1386	21.5489	21.9886	22.5779	23.0369	23.4945	23.5253	22.9422	22.9554	23.0861	23.177	23.1054	22.7115	22.3445	22.1566	21.8208	21.3264	20.8987	20.5572	20.3052	19.9758	20.0889	20.1423	20.0815	20.105	19.896	20.0105	20.4218	20.7725	21.4701	22.2857	22.737	23.4314	23.9186	23.9194	23.9447	24.2779	25.0418	25.4712	26.2407	26.2969	26.1434	26.7073	26.5731	26.1728	25.3318	25.0326	24.9576	24.254	23.8899	23.701	23.4558	23.029	22.5267	22.3635	22.0129	21.3087	20.2575	19.224	18.141	17.1399	16.3255	15.63	15.6104	15.6567	15.4241	15.4871	15.6387	16.3078	16.6489	17.0394	17.4403	17.5249	17.3117	17.1483	17.1973	17.3364	18.1223	18.4571	19.2013	20.0092	20.4114	21.2613	21.7805	22.602	23.31	24.6045	25.4875	26.4029	26.949	27.4743	29.2252	30.3448	31.2831	31.8743	31.6829	31.3076	31.2459	30.8819	29.9705	29.1597	28.3685	29.0198	29.2369	29.6137	30.6645	31.9033	31.8241	30.6836	29.1878	27.8958	26.6454	25.7578	25.0624	25.1495	25.7936	26.1658	27.1683	28.2226	29.1017	28.6276	26.6324	24.1799	21.9792	20.3545	18.3675	16.44	15.114	13.8944	12.216	11.0549	10.2883	9.92682	9.84414	9.96375	10.0979	10.3662	10.6623	10.4701	9.9899	9.18651	8.09026	6.70231	5.57339	4.63652	3.97504	3.52238	3.21179	3.02448	2.88544	2.7871	2.70372	2.64032	2.57977	2.52972	2.49641	2.45831	2.42725	2.40012	2.3725	2.34823	2.31534	2.29379	2.27384	2.25448	2.23672	2.21423	2.19622	2.18165	2.1646	2.14642	2.13326	2.12156	Arabica
C04	15.6684	15.8039	15.9776	15.5695	14.9504	14.0296	13.3967	13.0924	12.785	12.83	12.8657	12.866	12.8824	12.5135	12.1732	12.0553	11.8665	11.7348	11.7941	11.987	11.956	11.5626	11.4544	11.5084	11.3067	11.1605	11.2685	11.6084	11.5522	11.1112	10.9585	11.0565	11.2179	11.3352	11.4013	11.4933	11.6961	12.0631	12.6045	13.1291	13.5182	14.056	14.5228	15.0439	15.7002	15.9399	16.1637	16.289	16.5836	16.8834	16.7195	17.021	17.6273	18.2521	19.227	20.064	20.9711	22.0647	22.6244	23.3961	24.1649	24.8229	25.3689	25.4267	25.7396	26.4159	26.1846	26.4132	27.3578	27.7801	28.4886	28.9587	29.4253	29.2336	28.5368	28.5282	27.6485	26.7158	27.0506	26.9402	27.1249	27.8709	27.2756	26.6543	26.4841	25.9878	26.1479	26.4276	26.2646	26.1567	27.0521	28.0583	27.5117	26.81	26.4573	26.7451	26.8993	25.4312	24.5451	24.7283	24.3569	23.7016	23.7934	23.8361	23.5172	23.5379	23.3452	22.8921	22.9544	23.6146	24.0096	24.4388	24.9262	25.2338	25.5673	26.4035	27.1998	27.5084	27.9105	28.0831	28.4007	28.1622	27.9355	28.6109	28.6128	28.2263	27.2974	26.3569	25.6002	24.7592	24.6452	24.5384	24.1301	23.697	23.2204	23.1784	23.656	23.5638	23.6591	23.8712	23.6522	23.9273	24.8386	26.0292	26.7003	27.1574	28.0514	28.9103	28.5421	28.311	30.2611	30.6538	29.6875	29.4924	29.8145	30.4884	30.4642	30.1902	29.6703	28.9545	28.7492	29.3187	29.0511	27.9724	27.2733	27.2166	27.4451	26.8336	25.9336	24.8057	23.1734	22.0272	20.5589	19.4341	18.7011	17.6955	17.2657	17.7131	17.8113	17.3576	17.3155	18.6169	19.5212	19.8461	20.1618	20.4846	20.2167	19.4928	19.0073	19.0596	20.017	20.9732	21.7903	22.0542	22.3418	23.741	24.8062	26.0367	26.82	27.7454	28.7544	30.0087	31.2481	31.9105	31.7164	32.2136	34.2069	35.3266	34.7283	35.1582	35.4163	35.2501	34.8078	34.2853	35.279	34.938	33.3489	34.4315	35.8643	34.9117	35.9304	35.4332	32.3955	29.3281	28.4044	28.7869	28.3367	28.8496	29.8036	30.1958	31.4554	33.0396	34.0727	34.105	31.9361	27.9485	25.4686	23.5906	21.2507	19.3114	16.6817	14.6163	13.0888	11.8774	10.7189	9.97131	9.45312	9.19988	8.98977	8.86389	8.79492	8.53946	8.12534	7.54789	6.86799	6.03913	5.33854	4.76264	4.34497	4.05889	3.87339	3.73235	3.60516	3.51508	3.46363	3.42113	3.36998	3.32178	3.27873	3.26272	3.23202	3.19923	3.17351	3.13914	3.11073	3.10081	3.07568	3.04602	3.02012	2.98741	2.96382	2.95481	2.94252	2.90902	2.88099	2.8762	Arabica
C05	16.635	17.0553	17.6105	17.2116	16.2179	15.2878	14.4241	13.9289	13.5515	13.289	13.2891	13.0456	12.9753	13.1952	13.004	13.0089	13.0857	12.9816	13.0584	13.139	13.1453	13.1752	13.0959	12.8353	12.5651	12.4963	12.6941	12.7697	12.5103	12.2744	12.2836	12.3178	12.3596	12.4927	12.7489	12.9003	13.1011	13.6062	14.168	14.7698	15.1749	15.5816	16.0977	16.6064	17.5032	17.788	17.3766	17.6483	18.0871	18.2295	18.7207	19.568	20.3388	20.8379	21.6577	22.5853	23.4483	24.7989	25.4408	25.3354	25.5572	26.3133	26.9083	26.6675	26.7937	27.401	28.9733	30.0317	29.448	29.62	30.3858	30.3177	30.0572	30.5625	31.208	30.7517	30.0805	29.8425	29.6544	30.3474	30.736	30.1394	29.7551	29.5689	29.0716	28.3586	28.0769	28.8131	29.1399	28.5295	29.0242	29.9301	29.5314	28.2804	28.2658	29.0483	28.3916	27.3383	27.1869	26.8969	26.3828	26.2521	25.9182	25.8589	25.9492	26.1313	26.3244	25.633	24.969	25.2575	26.468	27.5225	27.2529	27.0171	27.701	28.0524	28.1973	28.9991	29.6994	30.2191	29.9613	29.3965	29.7467	30.08	30.1867	29.9009	28.6733	28.1379	27.9882	27.6789	27.3485	27.1635	27.065	26.5102	26.3485	26.2825	26.0775	25.6178	25.2843	25.5655	25.9928	26.7696	27.6711	28.2624	29.3034	29.8862	30.2642	31.6244	30.941	29.9439	31.174	31.386	31.3397	32.4807	32.9539	32.4544	32.3315	32.5114	32.3914	32.107	31.3858	30.8221	31.0547	30.6353	30.0798	30.2098	29.6959	28.8337	27.7974	27.0935	26.1421	24.7234	23.3295	22.7699	21.9844	21.1843	20.8331	20.7523	20.7376	20.4699	20.7436	21.4213	21.5983	22.355	22.7231	22.4905	22.6287	22.9011	22.6297	22.477	23.5214	23.6629	23.8926	24.7027	25.59	27.2002	28.1108	28.2119	28.8482	30.2255	30.6836	31.4654	32.3358	33.2703	34.1487	35.0586	36.6063	38.0354	38.1068	37.9138	38.6286	38.434	37.6855	37.0268	37.1435	36.7822	37.2888	38.0299	38.8521	40.6642	38.9315	37.9769	36.6206	33.65	32.4884	32.2669	31.5359	31.4685	32.3725	33.6249	34.5096	35.5001	36.5521	36.6058	34.9387	31.6285	28.8498	26.8744	24.4172	22.2914	20.3105	18.4596	16.4469	14.8914	13.4584	12.5692	12.1728	12.0386	11.9647	12.0838	12.1779	12.03	11.5916	10.6625	9.45392	8.1034	6.97849	5.96096	5.26218	4.80672	4.47733	4.25778	4.10055	3.98948	3.88981	3.8038	3.73237	3.68415	3.6482	3.61457	3.57323	3.52856	3.4934	3.46483	3.43559	3.41382	3.37919	3.34255	3.31096	3.28187	3.26316	3.24158	3.21355	3.18382	3.15736	3.14658	Arabica
C06	13.1653	13.5874	13.9986	13.4769	12.5776	11.9899	11.2436	10.6925	10.4698	10.374	10.3609	10.2128	10.0197	9.94439	10.0708	10.1235	10.0318	9.98995	9.95104	9.99684	10.0012	9.86314	9.71287	9.44009	9.19406	9.16316	9.22319	9.15571	8.92693	8.7243	8.73797	8.92036	8.99544	9.03883	9.15937	9.30969	9.55503	9.81978	10.094	10.4494	10.6909	10.86	11.2026	11.6217	12.0874	12.1941	12.0942	12.2876	12.739	13.2496	13.5996	14.0277	14.4375	15.2087	15.9887	16.881	18.3684	19.209	19.5139	19.8807	20.3727	20.6495	21.1965	21.3914	21.3797	21.8915	22.5135	22.8543	22.9196	23.5448	23.9372	24.4842	25.1318	25.3195	25.1954	24.4526	23.374	22.8815	22.818	22.7359	22.7597	22.7137	22.4916	22.2592	21.8733	21.4991	21.1886	21.3594	21.857	21.8446	21.5921	21.167	20.7391	20.5246	20.6337	20.4843	20.0553	19.8512	19.8942	19.5355	18.789	18.4972	18.2361	18.0335	18.2218	18.684	18.5639	17.8436	17.728	18.1002	18.7877	19.5124	19.7363	19.88	20.0182	20.0867	20.4926	20.995	21.1098	21.4479	21.5523	21.2979	21.4166	21.6238	21.8324	21.5943	20.8513	20.3163	19.9271	19.5663	19.3882	19.1391	18.8207	18.412	18.1581	18.5287	18.5402	18.1579	18.105	18.2811	18.547	18.6707	19.4923	20.6491	21.2633	22.1241	23.1013	23.3505	23.2303	23.2378	24.062	24.6732	24.5433	24.7357	24.5588	24.2301	24.4807	24.5047	24.3477	23.8198	22.8676	22.3878	21.9962	21.5954	21.4277	21.1102	20.848	20.3219	19.5425	19.1539	18.3169	17.3596	16.3465	15.4287	14.5037	13.924	13.9502	13.9235	13.8607	13.9589	13.8651	14.3419	14.8233	14.8672	15.0288	15.3659	15.3328	15.1323	15.0357	15.0387	15.8047	16.4601	17.0904	17.7476	18.3323	19.1453	19.8932	21.0637	21.9959	23.6093	24.9002	25.2043	25.4485	26.4756	27.1662	27.9288	28.9972	29.4461	29.9798	30.4173	29.8643	28.1022	27.1002	27.1192	27.2742	28.1407	28.5622	29.4496	28.9035	28.4482	28.9096	28.2878	27.0625	24.6268	23.3692	23.1371	22.5254	21.97	22.4851	23.4559	24.7386	25.9841	26.2998	25.5355	23.6054	21.4887	19.7264	18.031	16.2115	14.7518	13.4413	12.1788	10.9755	10.1193	9.3913	8.88357	8.64387	8.79958	8.98761	9.15813	9.308	9.20295	8.786	8.09396	7.19934	6.02257	5.06818	4.22813	3.62632	3.23804	2.96244	2.78868	2.65771	2.56018	2.4857	2.43945	2.38589	2.33074	2.3003	2.26586	2.22402	2.20021	2.18342	2.15828	2.12843	2.11259	2.08723	2.06117	2.045	2.02365	2.00871	1.99009	1.96517	1.95366	1.94245	1.93031	Arabica
C07	12.6072	13.2773	13.1779	12.5709	11.8189	11.0288	10.5069	10.0282	9.71692	9.6538	9.7551	9.75032	9.68966	9.67596	9.56804	9.35171	9.13754	9.13383	9.1844	9.2432	9.31284	9.1879	8.96944	8.75689	8.63654	8.63296	8.67952	8.82389	8.84034	8.65415	8.449	8.57229	8.76218	8.8202	8.9469	9.09175	9.34937	9.73726	10.1738	10.529	11.0035	11.4837	11.9678	12.463	12.8615	13.2342	13.4937	13.635	13.8455	14.1967	14.4722	14.9839	15.5755	16.5107	17.6567	18.6573	20.1777	21.505	21.6899	22.0469	22.7803	23.7375	24.9838	25.0973	25.1083	25.0978	25.6951	27.0699	27.9214	27.9119	27.4904	28.3151	29.3286	28.8722	28.0997	28.048	27.0038	24.6834	24.6451	25.6009	25.229	25.7459	26.3308	25.5905	24.6548	24.3611	24.5386	24.5026	24.7858	25.2142	25.2996	25.612	25.399	24.7357	24.6965	24.3219	23.4034	23.2392	22.8347	22.0266	21.265	20.9338	20.9497	20.8099	20.7738	20.6584	20.2325	19.9548	20.0212	20.5721	21.8055	22.0778	22.2337	22.992	23.577	23.8803	24.3141	25.1208	25.5131	25.6317	25.9431	25.7551	26.2463	26.8689	26.2982	25.3754	24.1664	23.4709	22.7301	22.6023	22.5907	21.9226	21.1879	20.8287	20.6478	20.5591	20.6724	20.481	20.2596	20.4738	21.0516	21.8701	22.7253	23.7259	24.8127	25.9265	26.7968	27.8997	28.3162	27.959	28.3155	28.3105	28.8068	28.2939	27.6712	27.9522	28.0605	27.5853	26.6326	26.4627	26.0629	25.4912	24.864	24.325	23.8003	23.4128	23.0619	23.0036	22.2766	20.5537	19.121	18.0095	16.8476	15.7421	14.8737	14.2632	14.2792	14.2713	14.0865	14.1637	14.2618	15.2363	15.9607	16.3276	16.6348	16.8038	16.8452	16.6132	16.356	16.4404	17.5776	18.3462	19.3144	20.4356	21.1136	22.1706	22.7169	24.0696	25.8642	27.3548	28.4168	29.2391	30.6438	32.3356	33.3435	34.0593	35.4043	36.084	34.9103	34.1539	34.3391	33.1765	31.4734	30.5335	31.5487	32.7687	32.1595	32.6861	32.3876	32.9285	33.0986	31.3643	29.1061	27.4451	26.0446	25.07	25.6578	26.2724	26.577	27.3229	28.0687	29.4966	30.0982	28.4708	26.0163	23.4013	20.4808	18.1513	16.1844	14.3552	12.3888	11.0321	9.7263	8.69517	7.84497	7.35594	7.13211	7.08745	7.04609	7.03501	7.08327	6.96716	6.63722	6.03923	5.29346	4.47917	3.83074	3.2446	2.83634	2.57709	2.38562	2.26121	2.17217	2.10768	2.05649	2.01278	1.96864	1.94084	1.92203	1.89625	1.86925	1.85111	1.83183	1.81125	1.79025	1.77434	1.76037	1.74672	1.72911	1.71206	1.70055	1.68431	1.67021	1.65823	1.64003	1.63134	Arabica
C08	16.1092	16.3407	16.398	16.0931	15.6604	14.8021	13.9526	13.5679	13.285	13.214	13.1776	13.088	13.1104	13.1604	12.6787	12.3004	12.2942	12.4107	12.3653	12.2944	12.3032	12.1249	11.8455	11.5354	11.3593	11.4269	11.4371	11.4808	11.5612	11.3996	11.2885	11.2602	11.2241	11.2448	11.4518	11.7256	12.0295	12.4344	12.8682	13.1768	13.5581	13.9619	14.572	15.4691	15.9984	16.2371	16.1227	16.0338	16.1519	16.4122	17.0268	17.7243	18.1697	18.8047	19.348	19.9363	21.2741	22.0486	22.6179	23.7191	24.4056	24.4585	24.2217	24.9923	25.7344	26.2503	27.0267	26.8791	26.7499	27.847	28.5672	28.5189	28.784	28.4019	28.4128	28.2471	27.9332	27.4894	27.5018	27.7354	27.5379	27.4045	27.1361	26.3458	25.5598	25.6717	25.7273	25.6062	26.0733	26.642	26.7539	26.707	26.7693	26.7062	25.6327	24.5301	24.6828	25.2279	25.1597	24.3724	23.8372	22.9883	22.5646	22.7822	22.6602	22.7056	22.6395	22.899	22.9506	22.9608	23.2471	23.8703	24.6181	24.9397	25.2531	25.6366	26.0786	26.3168	26.6354	27.3076	28.222	28.4464	28.1698	28.2246	27.9276	27.2875	26.6549	25.8514	25.2845	24.9051	24.2361	23.9972	23.6176	23.2884	23.2651	22.6445	22.6869	22.9955	22.6797	22.7009	23.273	23.773	24.2242	25.1894	26.2565	27.2619	28.1516	29.325	29.3965	28.7029	29.8022	30.6164	30.4941	30.1217	30.2071	30.5688	30.28	30.1366	29.5859	29.0118	28.8352	28.4107	27.7756	27.1745	26.9603	26.8461	26.4568	25.9624	25.5272	24.4151	22.9992	22.006	20.8238	19.5244	18.4575	17.8695	17.8158	17.849	17.7194	17.6198	17.7205	18.3495	18.8766	19.0219	19.4242	19.9425	19.6889	19.5424	19.4915	19.6565	20.3593	20.9695	21.9925	22.6337	23.1437	24.4284	25.1955	26.1451	27.0992	28.6429	29.836	30.7546	31.6222	32.5602	33.6778	34.3023	34.6975	36.3159	36.502	36.09	37.4633	37.9164	36.2932	35.0295	34.9997	35.4246	35.7481	35.2869	35.9134	36.5959	36.8306	37.0701	34.7284	31.7852	30.2524	29.0777	28.7034	29.4357	29.7881	29.9836	31.0537	33.5712	34.2278	32.7981	29.678	27.3639	25.6062	23.3487	21.1631	18.8138	16.6394	14.9883	13.4215	12.2383	11.2019	10.5845	10.0286	9.7984	9.86126	9.85778	9.79072	9.61166	9.20109	8.56025	7.74946	6.70533	5.83562	5.09588	4.59232	4.26926	4.02033	3.86149	3.74161	3.65305	3.56842	3.4959	3.43458	3.39398	3.35317	3.30962	3.28227	3.25618	3.2285	3.18774	3.16187	3.13851	3.10826	3.08696	3.04918	3.01339	2.98829	2.97204	2.95511	2.9317	2.91729	2.90655	Arabica
